VAR	ENSEMBL	NAME
IKZF2	ENSG00000030419	IKAROS family zinc finger 2
ARHGAP31	ENSG00000031081	Rho GTPase activating protein 31
EIPR1	ENSG00000032389	EARP complex and GARP complex interacting protein 1
CHPF2	ENSG00000033100	chondroitin polymerizing factor 2
FUT8	ENSG00000033170	fucosyltransferase 8
SLC4A7	ENSG00000033867	solute carrier family 4 member 7
VCL	ENSG00000035403	vinculin
DAPK2	ENSG00000035664	death associated protein kinase 2
STAP1	ENSG00000035720	signal transducing adaptor family member 1
TIMP2	ENSG00000035862	TIMP metallopeptidase inhibitor 2
MYOM2	ENSG00000036448	myomesin 2
CYP46A1	ENSG00000036530	cytochrome P450 family 46 subfamily A member 1
USP2	ENSG00000036672	ubiquitin specific peptidase 2
TUBG2	ENSG00000037042	tubulin gamma 2
FLT4	ENSG00000037280	fms related receptor tyrosine kinase 4
NSUN2	ENSG00000037474	NOP2/Sun RNA methyltransferase 2
METTL1	ENSG00000037897	methyltransferase like 1
PI4K2B	ENSG00000038210	phosphatidylinositol 4-kinase type 2 beta
MSR1	ENSG00000038945	macrophage scavenger receptor 1
RAI14	ENSG00000039560	retinoic acid induced 14
PHLPP2	ENSG00000040199	PH domain and leucine rich repeat protein phosphatase 2
RTN4R	ENSG00000040608	reticulon 4 receptor
PARP3	ENSG00000041880	poly(ADP-ribose) polymerase family member 3
THAP3	ENSG00000041988	THAP domain containing 3
SPATA7	ENSG00000042317	spermatogenesis associated 7
CAPG	ENSG00000042493	capping actin protein, gelsolin like
TG	ENSG00000042832	thyroglobulin
JADE2	ENSG00000043143	jade family PHD finger 2
LCP2	ENSG00000043462	lymphocyte cytosolic protein 2
TRIT1	ENSG00000043514	tRNA isopentenyltransferase 1
ADRB1	ENSG00000043591	adrenoceptor beta 1
CTNNA1	ENSG00000044115	catenin alpha 1
CNTLN	ENSG00000044459	centlein
DSG2	ENSG00000046604	desmoglein 2
OFD1	ENSG00000046651	OFD1 centriole and centriolar satellite protein
WDR37	ENSG00000047056	WD repeat domain 37
CTPS2	ENSG00000047230	CTP synthase 2
POLR2B	ENSG00000047315	RNA polymerase II subunit B
DTNBP1	ENSG00000047579	dystrobrevin binding protein 1
ANO2	ENSG00000047617	anoctamin 2
SCML1	ENSG00000047634	Scm polycomb group protein like 1
WWC3	ENSG00000047644	WWC family member 3
ARHGAP6	ENSG00000047648	Rho GTPase activating protein 6
USP28	ENSG00000048028	ubiquitin specific peptidase 28
HDAC9	ENSG00000048052	histone deacetylase 9
NOP16	ENSG00000048162	NOP16 nucleolar protein
SNX29	ENSG00000048471	sorting nexin 29
FAM120A	ENSG00000048828	family with sequence similarity 120A
COL9A2	ENSG00000049089	collagen type IX alpha 2 chain
ADAMTS6	ENSG00000049192	ADAM metallopeptidase with thrombospondin type 1 motif 6
H6PD	ENSG00000049239	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
PER3	ENSG00000049246	period circadian regulator 3
UTS2	ENSG00000049247	urotensin 2
RCN1	ENSG00000049449	reticulocalbin 1
ELN	ENSG00000049540	elastin
NEDD4L	ENSG00000049759	NEDD4 like E3 ubiquitin protein ligase
HEXB	ENSG00000049860	hexosaminidase subunit beta
NEXMIF	ENSG00000050030	neurite extension and migration factor
ARHGEF5	ENSG00000050327	Rho guanine nucleotide exchange factor 5
LIMA1	ENSG00000050405	LIM domain and actin binding 1
SLC4A8	ENSG00000050438	solute carrier family 4 member 8
COL23A1	ENSG00000050767	collagen type XXIII alpha 1 chain
HOMER3	ENSG00000051128	homer scaffold protein 3
PIK3CB	ENSG00000051382	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
HEBP2	ENSG00000051620	heme binding protein 2
PLEKHA5	ENSG00000052126	pleckstrin homology domain containing A5
FNIP2	ENSG00000052795	folliculin interacting protein 2
FSTL4	ENSG00000053108	follistatin like 4
FOXN3	ENSG00000053254	forkhead box N3
USE1	ENSG00000053501	unconventional SNARE in the ER 1
MCF2L2	ENSG00000053524	MCF.2 cell line derived transforming sequence-like 2
LAMA3	ENSG00000053747	laminin subunit alpha 3
KCNQ1	ENSG00000053918	potassium voltage-gated channel subfamily Q member 1
KIF1B	ENSG00000054523	kinesin family member 1B
TBC1D22A	ENSG00000054611	TBC1 domain family member 22A
ATP9A	ENSG00000054793	ATPase phospholipid transporting 9A (putative)
RELT	ENSG00000054967	RELT TNF receptor
GALC	ENSG00000054983	galactosylceramidase
CUL1	ENSG00000055130	cullin 1
CYFIP2	ENSG00000055163	cytoplasmic FMR1 interacting protein 2
EIF2AK2	ENSG00000055332	eukaryotic translation initiation factor 2 alpha kinase 2
ZNF280C	ENSG00000056277	zinc finger protein 280C
DCBLD2	ENSG00000057019	discoidin, CUB and LCCL domain containing 2
MTA3	ENSG00000057935	metastasis associated 1 family member 3
CDK14	ENSG00000058091	cyclin dependent kinase 14
SEC61A1	ENSG00000058262	SEC61 translocon subunit alpha 1
ATP2B4	ENSG00000058668	ATPase plasma membrane Ca2+ transporting 4
YIPF1	ENSG00000058799	Yip1 domain family member 1
DGKG	ENSG00000058866	diacylglycerol kinase gamma
TBXAS1	ENSG00000059377	thromboxane A synthase 1
PARP12	ENSG00000059378	poly(ADP-ribose) polymerase family member 12
TARBP1	ENSG00000059588	TAR (HIV-1) RNA binding protein 1
YBX3	ENSG00000060138	Y-box binding protein 3
STYK1	ENSG00000060140	serine/threonine/tyrosine kinase 1
GNA15	ENSG00000060558	G protein subunit alpha 15
CREB3L3	ENSG00000060566	cAMP responsive element binding protein 3 like 3
PIGV	ENSG00000060642	phosphatidylinositol glycan anchor biosynthesis class V
PTPRU	ENSG00000060656	protein tyrosine phosphatase receptor type U
RIMBP2	ENSG00000060709	RIMS binding protein 2
ACAA1	ENSG00000060971	acetyl-CoA acyltransferase 1
BCAT1	ENSG00000060982	branched chain amino acid transaminase 1
LZTS1	ENSG00000061337	leucine zipper tumor suppressor 1
ZNF112	ENSG00000062370	zinc finger protein 112
LTK	ENSG00000062524	leukocyte receptor tyrosine kinase
SLC6A16	ENSG00000063127	solute carrier family 6 member 16
CA11	ENSG00000063180	carbonic anhydrase 11
MED29	ENSG00000063322	mediator complex subunit 29
AHRR	ENSG00000063438	aryl-hydrocarbon receptor repressor
ZNF275	ENSG00000063587	zinc finger protein 275
MTMR1	ENSG00000063601	myotubularin related protein 1
GPC1	ENSG00000063660	glypican 1
LIMCH1	ENSG00000064042	LIM and calponin homology domains 1
INTS13	ENSG00000064102	integrator complex subunit 13
SPA17	ENSG00000064199	sperm autoantigenic protein 17
TSPAN32	ENSG00000064201	tetraspanin 32
ST3GAL6	ENSG00000064225	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
NGFR	ENSG00000064300	nerve growth factor receptor
CDON	ENSG00000064309	cell adhesion associated, oncogene regulated
CTSA	ENSG00000064601	cathepsin A
SNX24	ENSG00000064652	sorting nexin 24
CNN2	ENSG00000064666	calponin 2
FAR2	ENSG00000064763	fatty acyl-CoA reductase 2
CHI3L2	ENSG00000064886	chitinase 3 like 2
SLC9A3R2	ENSG00000065054	SLC9A3 regulator 2
IPO5	ENSG00000065150	importin 5
TRAM2	ENSG00000065308	translocation associated membrane protein 2
NTN1	ENSG00000065320	netrin 1
PDIA5	ENSG00000065485	protein disulfide isomerase family A member 5
TBC1D22B	ENSG00000065491	TBC1 domain family member 22B
MYLK	ENSG00000065534	myosin light chain kinase
CYB5R4	ENSG00000065615	cytochrome b5 reductase 4
PRKCQ	ENSG00000065675	protein kinase C theta
TLE2	ENSG00000065717	TLE family member 2, transcriptional corepressor
FAM107B	ENSG00000065809	family with sequence similarity 107 member B
TBC1D1	ENSG00000065882	TBC1 domain family member 1
PDE4A	ENSG00000065989	phosphodiesterase 4A
TIE1	ENSG00000066056	tyrosine kinase with immunoglobulin like and EGF like domains 1
CD84	ENSG00000066294	CD84 molecule
MPPED2	ENSG00000066382	metallophosphoesterase domain containing 2
FGFR2	ENSG00000066468	fibroblast growth factor receptor 2
MSANTD3	ENSG00000066697	Myb/SANT DNA binding domain containing 3
KIF26A	ENSG00000066735	kinesin family member 26A
PFKP	ENSG00000067057	phosphofructokinase, platelet
PLPP1	ENSG00000067113	phospholipid phosphatase 1
NEO1	ENSG00000067141	neogenin 1
TNFRSF1A	ENSG00000067182	TNF receptor superfamily member 1A
METTL22	ENSG00000067365	methyltransferase like 22
TRO	ENSG00000067445	trophinin
RRP15	ENSG00000067533	ribosomal RNA processing 15 homolog
PRKCZ	ENSG00000067606	protein kinase C zeta
SYT1	ENSG00000067715	synaptotagmin 1
NAV3	ENSG00000067798	neuron navigator 3
CBFB	ENSG00000067955	core-binding factor subunit beta
HYAL2	ENSG00000068001	hyaluronidase 2
HDAC4	ENSG00000068024	histone deacetylase 4
IFI35	ENSG00000068079	interferon induced protein 35
HEATR6	ENSG00000068097	HEAT repeat containing 6
MEF2A	ENSG00000068305	myocyte enhancer factor 2A
INPP5A	ENSG00000068383	inositol polyphosphate-5-phosphatase A
GPKOW	ENSG00000068394	G-patch domain and KOW motifs
FTSJ1	ENSG00000068438	FtsJ RNA 2'-O-methyltransferase 1
PPP2R5B	ENSG00000068971	protein phosphatase 2 regulatory subunit B'beta
PITX1	ENSG00000069011	paired like homeodomain 1
MAST4	ENSG00000069020	microtubule associated serine/threonine kinase family member 4
SDK2	ENSG00000069188	sidekick cell adhesion molecule 2
CLEC2D	ENSG00000069493	C-type lectin domain family 2 member D
KIAA1107	ENSG00000069712	KIAA1107
ATP1B3	ENSG00000069849	ATPase Na+/K+ transporting subunit beta 3
NEDD4	ENSG00000069869	NEDD4 E3 ubiquitin protein ligase
RAB27A	ENSG00000069974	RAB27A, member RAS oncogene family
LRP6	ENSG00000070018	LDL receptor related protein 6
ELP1	ENSG00000070061	elongator complex protein 1
NUCB2	ENSG00000070081	nucleobindin 2
PFN2	ENSG00000070087	profilin 2
PTPN3	ENSG00000070159	protein tyrosine phosphatase non-receptor type 3
DAPP1	ENSG00000070190	dual adaptor of phosphotyrosine and 3-phosphoinositides 1
SLC44A1	ENSG00000070214	solute carrier family 44 member 1
CLTCL1	ENSG00000070371	clathrin heavy chain like 1
FSTL3	ENSG00000070404	follistatin like 3
ZXDC	ENSG00000070476	ZXD family zinc finger C
NDST1	ENSG00000070614	N-deacetylase and N-sulfotransferase 1
AP3M2	ENSG00000070718	adaptor related protein complex 3 subunit mu 2
ST6GALNAC2	ENSG00000070731	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
TESK2	ENSG00000070759	testis associated actin remodelling kinase 2
OSBPL3	ENSG00000070882	oxysterol binding protein like 3
SLC12A3	ENSG00000070915	solute carrier family 12 member 3
RAD18	ENSG00000070950	RAD18 E3 ubiquitin protein ligase
NCK2	ENSG00000071051	NCK adaptor protein 2
MAP4K4	ENSG00000071054	mitogen-activated protein kinase kinase kinase kinase 4
MGAT4A	ENSG00000071073	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A
WDR1	ENSG00000071127	WD repeat domain 1
ARHGAP10	ENSG00000071205	Rho GTPase activating protein 10
RPS6KA2	ENSG00000071242	ribosomal protein S6 kinase A2
VASH1	ENSG00000071246	vasohibin 1
LMCD1	ENSG00000071282	LIM and cysteine rich domains 1
SEL1L	ENSG00000071537	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase
TRIB2	ENSG00000071575	tribbles pseudokinase 2
FAM50A	ENSG00000071859	family with sequence similarity 50 member A
CYBRD1	ENSG00000071967	cytochrome b reductase 1
ACTN1	ENSG00000072110	actinin alpha 1
LIMS2	ENSG00000072163	LIM zinc finger domain containing 2
SPEG	ENSG00000072195	striated muscle enriched protein kinase
ALDH3A2	ENSG00000072210	aldehyde dehydrogenase 3 family member A2
UBE2D1	ENSG00000072401	ubiquitin conjugating enzyme E2 D1
RHOBTB1	ENSG00000072422	Rho related BTB domain containing 1
CHFR	ENSG00000072609	checkpoint with forkhead and ring finger domains
P4HA2	ENSG00000072682	prolyl 4-hydroxylase subunit alpha 2
FCGR2B	ENSG00000072694	Fc fragment of IgG receptor IIb
STK10	ENSG00000072786	serine/threonine kinase 10
ACAP1	ENSG00000072818	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
CRMP1	ENSG00000072832	collapsin response mediator protein 1
EVC	ENSG00000072840	EvC ciliary complex subunit 1
SIDT1	ENSG00000072858	SID1 transmembrane family member 1
TMEM38A	ENSG00000072954	transmembrane protein 38A
PVR	ENSG00000073008	PVR cell adhesion molecule
XRCC1	ENSG00000073050	X-ray repair cross complementing 1
PANX2	ENSG00000073150	pannexin 2
TP63	ENSG00000073282	tumor protein p63
ALPK1	ENSG00000073331	alpha kinase 1
PDE8A	ENSG00000073417	phosphodiesterase 8A
CLCN4	ENSG00000073464	chloride voltage-gated channel 4
SDHA	ENSG00000073578	succinate dehydrogenase complex flavoprotein subunit A
FERMT2	ENSG00000073712	fermitin family member 2
DHRS9	ENSG00000073737	dehydrogenase/reductase 9
IGF2BP2	ENSG00000073792	insulin like growth factor 2 mRNA binding protein 2
TBX21	ENSG00000073861	T-box transcription factor 21
FRY	ENSG00000073910	FRY microtubule binding protein
NOTCH3	ENSG00000074181	notch receptor 3
TEAD2	ENSG00000074219	TEA domain transcription factor 2
SCARF1	ENSG00000074660	scavenger receptor class F member 1
LMAN1	ENSG00000074695	lectin, mannose binding 1
HACD3	ENSG00000074696	3-hydroxyacyl-CoA dehydratase 3
IPCEF1	ENSG00000074706	interaction protein for cytohesin exchange factors 1
ARHGEF10L	ENSG00000074964	Rho guanine nucleotide exchange factor 10 like
KCNQ2	ENSG00000075043	potassium voltage-gated channel subfamily Q member 2
SEMA3A	ENSG00000075213	semaphorin 3A
TTC38	ENSG00000075234	tetratricopeptide repeat domain 38
ACAT1	ENSG00000075239	acetyl-CoA acetyltransferase 1
GRAMD4	ENSG00000075240	GRAM domain containing 4
CELSR1	ENSG00000075275	cadherin EGF LAG seven-pass G-type receptor 1
ADD2	ENSG00000075340	adducin 2
RASAL2	ENSG00000075391	RAS protein activator like 2
FSCN1	ENSG00000075618	fascin actin-bundling protein 1
PLD1	ENSG00000075651	phospholipase D1
EXOSC7	ENSG00000075914	exosome component 7
REXO2	ENSG00000076043	RNA exonuclease 2
FMO4	ENSG00000076258	flavin containing dimethylaniline monoxygenase 4
SLC46A1	ENSG00000076351	solute carrier family 46 member 1
PLXNA2	ENSG00000076356	plexin A2
SPAG5	ENSG00000076382	sperm associated antigen 5
ANKRD13A	ENSG00000076513	ankyrin repeat domain 13A
TPD52	ENSG00000076554	tumor protein D52
ACACB	ENSG00000076555	acetyl-CoA carboxylase beta
PAG1	ENSG00000076641	phosphoprotein membrane anchor with glycosphingolipid microdomains 1
ICAM3	ENSG00000076662	intercellular adhesion molecule 3
GPC4	ENSG00000076716	glypican 4
CAMSAP3	ENSG00000076826	calmodulin regulated spectrin associated protein family member 3
DGKD	ENSG00000077044	diacylglycerol kinase delta
DNAJC10	ENSG00000077232	DnaJ heat shock protein family (Hsp40) member C10
IL4R	ENSG00000077238	interleukin 4 receptor
SPAG6	ENSG00000077327	sperm associated antigen 6
GPR137B	ENSG00000077585	G protein-coupled receptor 137B
SLC25A43	ENSG00000077713	solute carrier family 25 member 43
FGFR1	ENSG00000077782	fibroblast growth factor receptor 1
SMC1B	ENSG00000077935	structural maintenance of chromosomes 1B
FBLN1	ENSG00000077942	fibulin 1
MAP2	ENSG00000078018	microtubule associated protein 2
MCCC1	ENSG00000078070	methylcrotonoyl-CoA carboxylase 1
ACER3	ENSG00000078124	alkaline ceramidase 3
PIK3C3	ENSG00000078142	phosphatidylinositol 3-kinase catalytic subunit type 3
SYNJ2	ENSG00000078269	synaptojanin 2
PPP2R5C	ENSG00000078304	protein phosphatase 2 regulatory subunit B'gamma
HOXA9	ENSG00000078399	homeobox A9
EDN1	ENSG00000078401	endothelin 1
MLLT10	ENSG00000078403	MLLT10 histone lysine methyltransferase DOT1L cofactor
ZCWPW1	ENSG00000078487	zinc finger CW-type and PWWP domain containing 1
P2RY10	ENSG00000078589	P2Y receptor family member 10
ITM2A	ENSG00000078596	integral membrane protein 2A
TNRC6C	ENSG00000078687	trinucleotide repeat containing adaptor 6C
TP73	ENSG00000078900	tumor protein p73
SLC1A3	ENSG00000079215	solute carrier family 1 member 3
LXN	ENSG00000079257	latexin
SP140	ENSG00000079263	SP140 nuclear body protein
TNS1	ENSG00000079308	tensin 1
RAPGEF3	ENSG00000079337	Rap guanine nucleotide exchange factor 3
CEACAM1	ENSG00000079385	CEA cell adhesion molecule 1
FDFT1	ENSG00000079459	farnesyl-diphosphate farnesyltransferase 1
OPHN1	ENSG00000079482	oligophrenin 1
PGM1	ENSG00000079739	phosphoglucomutase 1
DCT	ENSG00000080166	dopachrome tautomerase
CRYBG3	ENSG00000080200	crystallin beta-gamma domain containing 3
SMARCA2	ENSG00000080503	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
SESN1	ENSG00000080546	sestrin 1
COL5A3	ENSG00000080573	collagen type V alpha 3 chain
CHRNA3	ENSG00000080644	cholinergic receptor nicotinic alpha 3 subunit
PSEN1	ENSG00000080815	presenilin 1
CLDND1	ENSG00000080822	claudin domain containing 1
MOK	ENSG00000080823	MOK protein kinase
NDC80	ENSG00000080986	NDC80 kinetochore complex component
MAGI3	ENSG00000081026	membrane associated guanylate kinase, WW and PDZ domain containing 3
EXD2	ENSG00000081177	exonuclease 3'-5' domain containing 2
PKP1	ENSG00000081277	plakophilin 1
AACS	ENSG00000081760	acetoacetyl-CoA synthetase
PCDHGA2	ENSG00000081853	protocadherin gamma subfamily A, 2
FYB1	ENSG00000082074	FYN binding protein 1
EPB41L3	ENSG00000082397	erythrocyte membrane protein band 4.1 like 3
SERTAD4	ENSG00000082497	SERTA domain containing 4
TRAF5	ENSG00000082512	TNF receptor associated factor 5
NFE2L1	ENSG00000082641	nuclear factor, erythroid 2 like 1
SEMA5B	ENSG00000082684	semaphorin 5B
GSK3B	ENSG00000082701	glycogen synthase kinase 3 beta
ULK2	ENSG00000083290	unc-51 like autophagy activating kinase 2
PLOD1	ENSG00000083444	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
P2RX5	ENSG00000083454	purinergic receptor P2X 5
ITGAE	ENSG00000083457	integrin subunit alpha E
OXCT1	ENSG00000083720	3-oxoacid CoA-transferase 1
ZNF324	ENSG00000083812	zinc finger protein 324
ZNF446	ENSG00000083838	zinc finger protein 446
FAT1	ENSG00000083857	FAT atypical cadherin 1
SMAP2	ENSG00000084070	small ArfGAP2
PPIE	ENSG00000084072	peptidylprolyl isomerase E
NOA1	ENSG00000084092	nitric oxide associated 1
HAL	ENSG00000084110	histidine ammonia-lyase
SSH1	ENSG00000084112	slingshot protein phosphatase 1
APLP2	ENSG00000084234	amyloid beta precursor like protein 2
NKAIN1	ENSG00000084628	sodium/potassium transporting ATPase interacting 1
NCOA1	ENSG00000084676	nuclear receptor coactivator 1
EFR3B	ENSG00000084710	EFR3 homolog B
KIF3C	ENSG00000084731	kinesin family member 3C
CD82	ENSG00000085117	CD82 molecule
MECOM	ENSG00000085276	MDS1 and EVI1 complex locus
PREP	ENSG00000085377	prolyl endopeptidase
HACE1	ENSG00000085382	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1
SEH1L	ENSG00000085415	SEH1 like nucleoporin
WDFY1	ENSG00000085449	WD repeat and FYVE domain containing 1
IGSF9	ENSG00000085552	immunoglobulin superfamily member 9
MTIF2	ENSG00000085760	mitochondrial translational initiation factor 2
DDHD2	ENSG00000085788	DDHD domain containing 2
ORC1	ENSG00000085840	origin recognition complex subunit 1
NFX1	ENSG00000086102	nuclear transcription factor, X-box binding 1
ITPKC	ENSG00000086544	inositol-trisphosphate 3-kinase C
TXLNG	ENSG00000086712	taxilin gamma
LAT2	ENSG00000086730	linker for activation of T cells family member 2
MYBPC2	ENSG00000086967	myosin binding protein C2
MTMR2	ENSG00000087053	myotubularin related protein 2
HSD17B14	ENSG00000087076	hydroxysteroid 17-beta dehydrogenase 14
TRIP6	ENSG00000087077	thyroid hormone receptor interactor 6
BAX	ENSG00000087088	BCL2 associated X, apoptosis regulator
